path,model_name,task,adapter_type,group_local_kind,group_local_delta,r,m,n,bd_row_factor,target_set,target_suffixes_json,scaling_mode,grouping_mode,learning_rate,max_length,warmup_ratio,seed,trainable_params,adapter_trainable_params,injection_adapter_params_total,eval_score,train_time_s
wandb/offline-run-20260312_214645-wu45gu3t/run-wu45gu3t.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,head_only,,,16,,,,custom,"[""q_proj"", ""k_proj"", ""v_proj"", ""o_proj""]",standard,contiguous,0.0001,128,0.0,0,4096,0,,0.7213302752293578,320.3800446987152
wandb/offline-run-20260312_215811-lky6tnba/run-lky6tnba.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,full_ft,,,16,,,,custom,"[""q_proj"", ""k_proj"", ""v_proj"", ""o_proj""]",standard,contiguous,2e-05,128,0.0,0,1235818496,0,,0.9346330275229358,128.80740475654602
wandb/offline-run-20260312_220239-2wcgue8q/run-2wcgue8q.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,vanilla_lora,,,16,,,,custom,"[""q_proj"", ""k_proj"", ""v_proj"", ""o_proj""]",standard,contiguous,0.0001,128,0.0,0,171184128,171180032,3407872,0.9094036697247706,257.8011701107025
wandb/offline-run-20260312_221120-6imu7ayw/run-6imu7ayw.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,bd_lora,,,16,2,8,block_a,custom,"[""q_proj"", ""k_proj"", ""v_proj"", ""o_proj""]",standard,contiguous,0.0001,128,0.0,0,170037248,170033152,2260992,0.8543577981651376,111.65348434448242
wandb/offline-run-20260312_221822-m4mgkdi7/run-m4mgkdi7.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,group_local,equal,,16,16,,,custom,"[""q_proj"", ""k_proj"", ""v_proj"", ""o_proj""]",standard,contiguous,0.0001,128,0.0,0,171184128,171180032,3407872,0.8922018348623854,54.47032833099365
wandb/offline-run-20260312_222253-nvb3dmbq/run-nvb3dmbq.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,group_local,equal,,16,8,,,custom,"[""q_proj"", ""k_proj"", ""v_proj"", ""o_proj""]",standard,contiguous,0.0001,128,0.0,0,170528768,170524672,2752512,0.9105504587155964,172.76837968826294
wandb/offline-run-20260312_222932-lvsxkwii/run-lvsxkwii.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,group_local,equal,,16,4,,,custom,"[""q_proj"", ""k_proj"", ""v_proj"", ""o_proj""]",standard,contiguous,0.0001,128,0.0,0,170201088,170196992,2424832,0.9059633027522935,139.50483441352844
wandb/offline-run-20260312_223504-bzzk6m2u/run-bzzk6m2u.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,group_local,equal,,16,2,,,custom,"[""q_proj"", ""k_proj"", ""v_proj"", ""o_proj""]",standard,contiguous,0.0001,128,0.0,0,170037248,170033152,2260992,0.9151376146788991,200.39789009094238
wandb/offline-run-20260312_224259-mvi23wgr/run-mvi23wgr.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,group_local,equal,,16,1,,,custom,"[""q_proj"", ""k_proj"", ""v_proj"", ""o_proj""]",standard,contiguous,0.0001,128,0.0,0,169955328,169951232,2179072,0.9128440366972477,99.54367518424988
wandb/offline-run-20260312_224945-r11yp9h2/run-r11yp9h2.wandb,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,group_local,param,0,16,16,,,custom,"[""q_proj"", ""k_proj"", ""v_proj"", ""o_proj""]",standard,contiguous,0.0001,128,0.0,0,171184128,171180032,3407872,0.8922018348623854,45.0355486869812
