path,model_short,model_name,task,seed,adapter_type,method,group_local_kind,group_local_delta,r,m,n,bd_row_factor,target_set,scaling_mode,grouping_mode,perm_seed,learning_rate,max_length,warmup_ratio,trainable_params,adapter_trainable_params,injection_adapter_params_total,eval_validation_score,eval_validation_matched_score,eval_validation_mismatched_score,task_score,train_time_s
wandb_stage2/wandb/offline-run-20260316_122935-wq4640v5/run-wq4640v5.wandb,Llama-3.2-1B-Instruct,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,cola,0,full_ft,full_ft,,,16,,,,attn_mlp,rs,contiguous,,2e-05,128,0.05,1235818496,0,,0.6122751859055523,,,0.6122751859055523,555.2000923156738
wandb_stage2/wandb/offline-run-20260316_123134-v9q3h1yn/run-v9q3h1yn.wandb,Llama-3.2-1B-Instruct,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,cola,0,head_only,head_only,,,16,,,,attn_mlp,rs,contiguous,,0.0001,128,0.05,4096,0,,0.27792863114293215,,,0.27792863114293215,203.62561130523682
wandb_stage2/wandb/offline-run-20260316_123435-hvvfhbf9/run-hvvfhbf9.wandb,Llama-3.2-1B-Instruct,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,cola,0,vanilla_lora,vanilla_lora_r16,,,16,,,,attn_mlp,rs,contiguous,,0.0001,128,0.05,11276288,11272192,11272192,0.6298908217708153,,,0.6298908217708153,789.6445813179016
wandb_stage2/wandb/offline-run-20260316_124008-3mhzb4x6/run-3mhzb4x6.wandb,Llama-3.2-1B-Instruct,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,0,head_only,head_only,,,16,,,,attn_mlp,rs,contiguous,,0.0001,128,0.05,4096,0,,0.8807339449541285,,,0.8807339449541285,195.41203570365906
wandb_stage2/wandb/offline-run-20260316_124057-t3rsfw7n/run-t3rsfw7n.wandb,Llama-3.2-1B-Instruct,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,0,full_ft,full_ft,,,16,,,,attn_mlp,rs,contiguous,,2e-05,128,0.05,1235818496,0,,0.9541284403669725,,,0.9541284403669725,1565.1764585971832
wandb_stage2/wandb/offline-run-20260316_124530-mqtlolz6/run-mqtlolz6.wandb,Llama-3.2-1B-Instruct,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,mrpc,0,head_only,head_only,,,16,,,,attn_mlp,rs,contiguous,,0.0001,128,0.05,4096,0,,0.731553041315373,,,0.731553041315373,202.9863142967224
wandb_stage2/wandb/offline-run-20260316_125005-euqxodfr/run-euqxodfr.wandb,Llama-3.2-1B-Instruct,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,cola,0,bd_lora,bd_lora_r16_n4_rowblock_a,,,16,4,4,block_a,attn_mlp,rs,contiguous,,0.0001,128,0.05,5574656,5570560,5570560,0.6197034905162012,,,0.6197034905162012,370.85745906829834
wandb_stage2/wandb/offline-run-20260316_125426-m2156qnm/run-m2156qnm.wandb,Llama-3.2-1B-Instruct,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,qqp,0,head_only,head_only,,,16,,,,attn_mlp,rs,contiguous,,0.0001,128,0.05,4096,0,,0.737737369614023,,,0.737737369614023,783.2847883701324
wandb_stage2/wandb/offline-run-20260316_130215-ql22nnoz/run-ql22nnoz.wandb,Llama-3.2-1B-Instruct,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,cola,0,group_local,group_local_equal_r16_m16,equal,,16,16,,,attn_mlp,rs,contiguous,,0.0001,128,0.05,11276288,11272192,11272192,0.6283714653016793,,,0.6283714653016793,157.74591970443726
wandb_stage2/wandb/offline-run-20260316_130855-2un4zxgj/run-2un4zxgj.wandb,Llama-3.2-1B-Instruct,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,cola,0,group_local,group_local_param_r16_m16_d0,param,0,16,16,,,attn_mlp,rs,contiguous,,0.0001,128,0.05,11276288,11272192,11272192,0.6283714653016793,,,0.6283714653016793,233.40208911895752
wandb_stage2/wandb/offline-run-20260316_130923-d09vwwnk/run-d09vwwnk.wandb,Llama-3.2-1B-Instruct,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,mrpc,0,full_ft,full_ft,,,16,,,,attn_mlp,rs,contiguous,,2e-05,128,0.05,1235818496,0,,0.8911356209150327,,,0.8911356209150327,260.7126941680908
wandb_stage2/wandb/offline-run-20260316_131316-507lizus/run-507lizus.wandb,Llama-3.2-1B-Instruct,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,stsb,0,head_only,head_only,,,16,,,,attn_mlp,rs,contiguous,,0.0001,128,0.05,2048,0,,0.36644214458040403,,,0.36644214458040403,43.36466407775879
wandb_stage2/wandb/offline-run-20260316_131524-v4sq95hz/run-v4sq95hz.wandb,Llama-3.2-1B-Instruct,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,0,vanilla_lora,vanilla_lora_r16,,,16,,,,attn_mlp,rs,contiguous,,0.0001,128,0.05,11276288,11272192,11272192,0.9552752293577982,,,0.9552752293577982,1165.5768678188324
wandb_stage2/wandb/offline-run-20260316_131912-5r7ilphz/run-5r7ilphz.wandb,Llama-3.2-1B-Instruct,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,qqp,0,full_ft,full_ft,,,16,,,,attn_mlp,rs,contiguous,,2e-05,128,0.05,1235818496,0,,0.8963095262677951,,,0.8963095262677951,7081.986632347107
wandb_stage2/wandb/offline-run-20260316_132027-8wdo8hja/run-8wdo8hja.wandb,Llama-3.2-1B-Instruct,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,mnli,0,head_only,head_only,,,16,,,,attn_mlp,rs,contiguous,,0.0001,128,0.05,6144,0,,,0.563015792154865,0.5700772986167616,0.5665465453858133,818.3352251052856
wandb_stage2/wandb/offline-run-20260316_134001-6xu68uyl/run-6xu68uyl.wandb,Llama-3.2-1B-Instruct,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,qnli,0,head_only,head_only,,,16,,,,attn_mlp,rs,contiguous,,0.0001,128,0.05,4096,0,,0.6997986454329124,,,0.6997986454329124,224.96661758422852
wandb_stage2/wandb/offline-run-20260316_134016-9ecosmz2/run-9ecosmz2.wandb,Llama-3.2-1B-Instruct,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,0,bd_lora,bd_lora_r16_n4_rowblock_a,,,16,4,4,block_a,attn_mlp,rs,contiguous,,0.0001,128,0.05,5574656,5570560,5570560,0.9541284403669725,,,0.9541284403669725,1330.0288393497467
wandb_stage2/wandb/offline-run-20260316_134600-qk5njx1q/run-qk5njx1q.wandb,Llama-3.2-1B-Instruct,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,rte,0,head_only,head_only,,,16,,,,attn_mlp,rs,contiguous,,0.0001,128,0.05,4096,0,,0.49458483754512633,,,0.49458483754512633,212.12952065467834
wandb_stage2/wandb/offline-run-20260316_135407-xapor496/run-xapor496.wandb,Llama-3.2-1B-Instruct,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,wnli,0,head_only,head_only,,,16,,,,attn_mlp,rs,contiguous,,0.0001,128,0.05,4096,0,,0.5352112676056338,,,0.5352112676056338,101.15195035934448
wandb_stage2/wandb/offline-run-20260316_140719-a08tc3bw/run-a08tc3bw.wandb,Llama-3.2-1B-Instruct,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,0,group_local,group_local_equal_r16_m16,equal,,16,16,,,attn_mlp,rs,contiguous,,0.0001,128,0.05,11276288,11272192,11272192,0.9587155963302753,,,0.9587155963302753,1266.631944656372
wandb_stage2/wandb/offline-run-20260316_143317-73stlkc3/run-73stlkc3.wandb,Llama-3.2-1B-Instruct,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,0,group_local,group_local_param_r16_m16_d0,param,0,16,16,,,attn_mlp,rs,contiguous,,0.0001,128,0.05,11276288,11272192,11272192,0.9587155963302753,,,0.9587155963302753,1290.3364596366882
